image_id,particle_id,area_px,area_um2,perimeter_px,circularity,equivalent_diameter_px,equivalent_diameter_um,aspect_ratio,area,perimeter,metric_error_code,metric_error_message,is_edge_particle,validation_status,rejection_reason
img_RDBS_0485,1,114.0,0.8103320754,36.970562748477136,1.0480996907936426,12.047792665040703,1.0157493995895817,0.8461538461538461,114.0,36.970562748477136,,,False,valid,
img_RDBS_0485,2,51.0,0.36251698109999997,23.31370849898476,1.1791181273576488,8.058239062071396,0.6793901353232393,1.0,51.0,23.31370849898476,,,False,valid,
img_RDBS_0485,12,57.0,0.4051660377,25.556349186104047,1.0966981044581463,8.51907589177983,0.7182432884359574,1.25,57.0,25.556349186104047,,,False,valid,
img_RDBS_0485,13,82.0,0.5828704402,67.5208152801713,0.22602077582851898,10.217907939900583,0.8614718184130181,2.925925925925926,82.0,67.5208152801713,,,False,valid,
img_RDBS_0485,20,9954.0,70.7547848994,379.3624817342638,0.8691580261295812,112.57809035640021,9.491458797948102,1.3505154639175259,9954.0,379.3624817342638,,,False,valid,
img_RDBS_0485,21,9724.0,69.11990439639999,376.0071426749364,0.8642962413905766,111.26985815127438,9.381161740733942,1.1057692307692308,9724.0,376.0071426749364,,,False,valid,
img_RDBS_0485,22,9295.0,66.07049684949999,366.33304448274095,0.8703763215402511,108.78769033449205,9.171890172101024,1.0454545454545454,9295.0,366.33304448274095,,,False,valid,
img_RDBS_0485,23,9272.0,65.9070087992,373.4629867976521,0.835387850127071,108.65301219379253,9.160535458058648,1.372340425531915,9272.0,373.4629867976521,,,False,valid,
img_RDBS_0485,24,9165.0,65.14643395649999,361.26197667087547,0.8824656827443591,108.02425851399197,9.107525235314663,0.9732142857142857,9165.0,361.26197667087547,,,False,valid,
img_RDBS_0485,25,9005.0,64.0091257805,360.33304448274095,0.871536136538797,107.07717824233201,9.02767689761101,0.8347107438016529,9005.0,360.33304448274095,,,False,valid,
img_RDBS_0485,26,8915.0,63.369389931499995,354.492424049175,0.8914916815150534,106.54074592058184,8.982450288564255,1.0388349514563107,8915.0,354.492424049175,,,False,valid,
img_RDBS_0485,27,8859.0,62.971332069899994,365.1614716074871,0.8348811746503451,106.20559837790476,8.95419399924115,1.2058823529411764,8859.0,365.1614716074871,,,False,valid,
